Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,4,32,0.82
0,4,64,1.17
0,4,128,13.54
0,4,256,19.72
0,4,512,13.51
0,4,1024,29.45
0,4,2048,26.72
0,4,4096,51.55
0,4,8192,61.93
0,4,16384,85.57
0,4,32768,30.14
0,4,65536,45.46
0,4,131072,64.83
0,4,262144,134.18
0,4,524288,267.27
0,4,1048576,566.36
0,8,1,2.60
0,8,2,1.62
0,8,4,5.25
0,8,8,4.92
0,8,16,1.77
0,8,32,1.76
0,8,64,2.00
0,8,128,24.19
0,8,256,22.02
0,8,512,22.34
0,8,1024,31.73
0,8,2048,38.69
0,8,4096,64.96
0,8,8192,96.41
0,8,16384,37.61
0,8,32768,36.29
0,8,65536,65.68
0,8,131072,119.75
0,8,262144,252.16
0,8,524288,492.18
0,8,1048576,984.51
0,12,1,162.43
0,12,2,5.42
0,12,4,9.31
0,12,8,9.07
0,12,16,6.53
0,12,32,4.49
0,12,64,3.56
0,12,128,14.30
0,12,256,120.12
0,12,512,39.30
0,12,1024,36.85
0,12,2048,56.72
0,12,4096,89.43
0,12,8192,107.76
0,12,16384,47.56
0,12,32768,69.04
0,12,65536,102.54
0,12,131072,189.17
0,12,262144,392.89
0,12,524288,735.47
0,12,1048576,1407.17
0,16,1,7.40
0,16,2,2.86
0,16,4,15.54
0,16,8,7.79
0,16,16,2.47
0,16,32,1.08
0,16,64,2.17
0,16,128,56.74
0,16,256,23.96
0,16,512,43.30
0,16,1024,32.94
0,16,2048,77.50
0,16,4096,83.69
0,16,8192,117.36
0,16,16384,45.59
0,16,32768,62.54
0,16,65536,109.34
0,16,131072,196.90
0,16,262144,384.11
0,16,524288,746.38
0,16,1048576,1761.50
0,24,1,114.23
0,24,2,11.47
0,24,4,13.83
0,24,8,6.02
0,24,16,11.33
0,24,32,5.97
0,24,64,33.96
0,24,128,50.29
0,24,256,77.91
0,24,512,37.33
0,24,1024,57.52
0,24,2048,68.30
0,24,4096,120.90
0,24,8192,129.03
0,24,16384,54.21
0,24,32768,86.51
0,24,65536,163.73
0,24,131072,298.10
0,24,262144,555.62
0,24,524288,1068.12
0,24,1048576,2641.17
